key,name,sort_order,semifinal_label,quarterfinal_label
m1,M-1グランプリ,1,,
tm,THE MANZAI,2,認定漫才師,
koc,キングオブコント,3,,
r1,R-1グランプリ,4,,
sec,THE SECOND〜漫才トーナメント〜,5,ベスト16,ベスト32
tw,女芸人No.1決定戦 THE W,6,,
abc,ABCお笑いグランプリ,7,,
tsugi,ツギクル芸人グランプリ,8,,
u5,UNDER5 AWARD,9,,
w30,水曜日のダウンタウン 30-1グランプリ,10,,
uta,歌ネタ王決定戦,11,,
ln,マイナビ Laughter Night チャンピオンLIVE,12,,
nhks,NHK新人お笑い大賞,13,,
